,precision,recall,f1-score,support
Dairies,0.5111111111111111,0.9583333333333334,0.6666666666666666,24.0
Farm and Animal Waste,1.0,0.4583333333333333,0.6285714285714286,24.0
Landfills,1.0,0.625,0.7692307692307693,24.0
Poultry Production,0.96,1.0,0.9795918367346939,24.0
Wastewater Treatment,1.0,1.0,1.0,24.0
accuracy,0.8083333333333333,0.8083333333333333,0.8083333333333333,0.8083333333333333
macro avg,0.8942222222222223,0.8083333333333333,0.8088121402407117,120.0
weighted avg,0.8942222222222223,0.8083333333333333,0.8088121402407116,120.0
