,precision,recall,f1-score,support
Combustion,0.9769585253456221,0.9636363636363636,0.9702517162471396,220.0
Microbial,0.9917355371900827,1.0,0.995850622406639,120.0
Volatilization,0.9593023255813954,0.9705882352941176,0.9649122807017544,170.0
accuracy,0.9745098039215686,0.9745098039215686,0.9745098039215686,0.9745098039215686
macro avg,0.9759987960390334,0.9780748663101604,0.9770048731185109,510.0
weighted avg,0.9745500693876158,0.9745098039215686,0.9744951764362072,510.0
